Article  Description,Article Link,Video Link
Python Tutorial: Zip Files – Creating and Extracting Zip Archives,https://coreyms.com/development/python/python-tutorial-zip-files-creating-and-extracting-zip-archives,https://www.youtube.com/watch?v=z0gguhEmWiY
Python Data Science Tutorial: Analyzing the 2019 Stack Overflow Developer Survey,https://coreyms.com/development/python/python-data-science-tutorial-analyzing-the-2019-stack-overflow-developer-survey,https://www.youtube.com/watch?v=_P7X8tMplsw
Python Multiprocessing Tutorial: Run Code in Parallel Using the Multiprocessing Module,https://coreyms.com/development/python/python-multiprocessing-tutorial-run-code-in-parallel-using-the-multiprocessing-module,https://www.youtube.com/watch?v=fKl2JW_qrso
Python Threading Tutorial: Run Code Concurrently Using the Threading Module,https://coreyms.com/development/python/python-threading-tutorial-run-code-concurrently-using-the-threading-module,https://www.youtube.com/watch?v=IEEhzQoKtQU
Update (2019-09-03),https://coreyms.com/general/update-2019-09-03,N/A
Python Quick Tip: The Difference Between “==” and “is” (Equality vs Identity),https://coreyms.com/development/python/python-quick-tip-the-difference-between-and-is-equality-vs-identity,https://www.youtube.com/watch?v=mO_dS3rXDIs
Python Tutorial: Calling External Commands Using the Subprocess Module,https://coreyms.com/development/python/python-tutorial-calling-external-commands-using-the-subprocess-module,https://www.youtube.com/watch?v=2Fp1N6dof0Y
Visual Studio Code (Windows) – Setting up a Python Development Environment and Complete Overview,https://coreyms.com/development/python/visual-studio-code-windows-setting-up-a-python-development-environment-and-complete-overview,https://www.youtube.com/watch?v=-nh9rCzPJ20
Visual Studio Code (Mac) – Setting up a Python Development Environment and Complete Overview,https://coreyms.com/development/python/visual-studio-code-mac-setting-up-a-python-development-environment-and-complete-overview,https://www.youtube.com/watch?v=06I63_p-2A4
Clarifying the Issues with Mutable Default Arguments,https://coreyms.com/development/python/clarifying-the-issues-with-mutable-default-arguments,https://www.youtube.com/watch?v=_JGmemuINww
